LogicalTGA,SourceClass,ActualPath,Exists,DecodeOK,ActualWidth,ActualHeight,ExpectedWidth,ExpectedHeight,ActualSizeBytes,ExpectedFileSizeKB,SizeOK,DimensionsOK,Status,Error
dlc-frontend/textures/ui/ui map size select large clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui map size select large clicked.tga,True,True,128,128,128,128,65554,64.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui map size select large.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui map size select large.tga,True,True,128,128,128,128,65554,64.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui map size select normal clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui map size select normal clicked.tga,True,True,128,128,128,128,65554,64.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui pregame button clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui pregame button clicked.tga,True,True,256,64,256,64,65554,64.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui pregame button glow.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui pregame button glow.tga,True,True,256,64,256,64,65554,64.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui pregame button rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui pregame button rollover.tga,True,True,256,64,256,64,65554,64.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui pregame button.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui pregame button.tga,True,True,256,64,256,64,65554,64.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui pregame left bottom.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui pregame left bottom.tga,True,True,481,360,481,360,692658,676.4,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui pregame left middle.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui pregame left middle.tga,True,True,481,360,481,360,692658,676.4,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui pregame left top.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui pregame left top.tga,True,True,481,360,481,360,692658,676.4,False,True,FAIL,file size mismatch; 
