relative_path,source_width,source_height,output_width,output_height,dimension_ok,alpha_ok,output_decode_ok,source_rgba_sha256,output_rgba_sha256,error
textures/ui/ui god thor 64x64.tga,64,64,256,256,True,True,True,8a959011b7a40cc85107369c698b4cabe9a8a93786e1a982cdf0239e9ce46af0,f98987e0ad6379330d0a6ffa172e62b6612e7d5e3a8ddb5f3c3efb6fbf08333a,
textures/ui/ui god zeus 128x128.tga,128,128,512,512,True,True,True,069bd03cc3061976c1592a3ee33bb92189daed06065a9583b4e95801b805e2e0,cb9537f6c4ae18fa87072104965fade5772ba07a766f9547a9e94a2d4eb9ebb6,
textures/ui/ui god zeus 256x256.tga,256,256,1024,1024,True,True,True,320ad141eba4a2a6fdf528f659eff8a949149ae4a0df84f2f07bac9df61031e3,b3dbe847387dad29d6dd7d9eb77b47eba679baa588d2e6509b9fb302e17e645f,
textures/ui/ui god zeus 32x32.tga,32,32,128,128,True,True,True,d2559346c598ffcc507a9c0d35e08671564d3cdfd675390cd34a4bceb994121a,24d73213e50ed85c2bd470089b4a731506785296a8dfee261322a2a83828af07,
textures/ui/ui god zeus 64x64.tga,64,64,256,256,True,True,True,c49b2d7695958fb1440e2b78247c47bfe6141b5a34626b3642a9d7dd4c90085a,8f45d1e8a4472248bd41b2929302bc218977275f46358ada3835b949e6c7a4a7,
textures/ui/ui icon button clicked.tga,64,64,256,256,True,True,True,60574a1323d7a08bec2b063d2d3d994135773ec55b1c091f0a80cd6a2b1e711a,30da7d106f3efc654dff309f2d3292071a85eb38e7f600f6ae357ec1ad29bf5a,
textures/ui/ui icon button foreground film.tga,64,64,256,256,True,True,True,544de441adc40fe89bf3849e748cd7d3e49211cbec4a0439f9787ae4f9ad2573,a941809f5bca82c54a7591a83fce11a35dbf0b9abe54af76c3320e7eb4b0e6ce,
textures/ui/ui icon button foreground history.tga,64,64,256,256,True,True,True,47a646865f0813a8a6fc0a13c6130b746520ca44a99890f9252db244a27491b3,1fae78e0fc730d36ad188c8e0867a61c531c6214a2777d683840eb42b3ef9e7c,
textures/ui/ui icon button foreground options.tga,64,64,256,256,True,True,True,26db853d648702ada17c76b1299b12b336b6eda2e19ba4389acb645e9345ef72,2183ac332d581db4c4469541649d44b76a254b173405cdabb589e452337de712,
textures/ui/ui icon button foreground steam.tga,64,64,256,256,True,True,True,5763bde4a28ac6f6ae66eb16ffbd19dea122301a792158a9e6d5b9005cf8e120,9a197ffbadfb0d20d2eac50c7a5ba389db9c455babddc7928cce90a8e91ebff7,
textures/ui/ui icon button rollover.tga,64,64,256,256,True,True,True,9acd56f7222ef06cf61dd7b1212ae3e70b1c07f06f316f7516f2400ec60ae065,fdbfd96c1becb2fb604070720dac3d090a6070462ace2b5a723556bfa53b0d27,
textures/ui/ui icon button.tga,64,64,256,256,True,True,True,f82878ce3d43336ddd0f560c8e39a3ded8494cb76213da23ec2d7e74380ad7b2,2ca3124f15f984424e0f5894823a1714963daa3a758c611de6a61b799cba437d,
textures/ui/ui line yellow vertical.tga,8,256,32,1024,True,True,True,05bcd8f4b93c0fcd6025b055fbe3c4eed7a0c3ba7df7e0e3b30c1e5cd1c34ae5,8f6d93ba1acb0a3efbf6e9cdb08873d7213657f5224764d4b5fc3ee278195ad0,
